gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,69.0,77.0,76.0,75.0,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Father,32.0,88.0,32.0,25.0,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,25.0,82.0,52.0,20.0,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,32.0,44.0,29.0,89.0,Yes,Bad,Under-7,M
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,12.0,50.0,8.0,30.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,89.0,96.0,45.0,92.0,Yes,Good,Under-7,H
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,S,Mum,9.0,7.0,9.0,3.0,No,Good,Above-7,L
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,S,Father,85.0,88.0,79.0,70.0,Yes,Good,Under-7,M
F,SaudiArabia,USA,HighSchool,G-11,B,Science,S,Father,100.0,91.0,98.0,40.0,Yes,Bad,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-07,B,Biology,S,Father,89.0,92.0,89.0,83.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,29.0,22.0,9.0,20.0,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,55.0,74.0,25.0,29.0,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50.0,90.0,40.0,90.0,Yes,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,10.0,17.0,12.0,40.0,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,72.0,41.0,46.0,27.0,No,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,92.0,81.0,32.0,36.0,No,Good,Under-7,M
M,Iran,Iran,lowerlevel,G-02,B,French,S,Mum,20.0,22.0,53.0,13.0,No,Good,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,32.0,82.0,59.0,63.0,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,81.0,79.0,91.0,85.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,62.0,64.0,69.0,49.0,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,11.0,2.0,0.0,50.0,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10.0,98.0,41.0,38.0,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,S,Father,71.0,81.0,83.0,72.0,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,9.0,6.0,15.0,85.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,85.0,75.0,62.0,53.0,Yes,Bad,Under-7,H
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,39.0,15.0,16.0,50.0,No,Good,Above-7,L
M,Morocco,Morocco,MiddleSchool,G-08,B,Arabic,S,Father,27.0,15.0,42.0,53.0,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70.0,83.0,70.0,23.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,22.0,34.0,15.0,9.0,No,Bad,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Mum,69.0,15.0,36.0,96.0,Yes,Good,Under-7,M
M,KW,KuwaIT,HighSchool,G-11,B,Math,S,Mum,73.0,84.0,77.0,81.0,Yes,Good,Above-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,F,Father,10.0,0.0,2.0,41.0,No,Bad,Above-7,L
F,KW,USA,HighSchool,G-11,A,Quran,S,Mum,70.0,80.0,95.0,70.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,85.0,82.0,59.0,63.0,Yes,Bad,Under-7,M
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,10.0,12.0,7.0,33.0,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Father,52.0,10.0,13.0,6.0,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30.0,10.0,20.0,5.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,0.0,6.0,4.0,15.0,Yes,Bad,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80.0,81.0,71.0,30.0,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,8.0,22.0,9.0,40.0,No,Bad,Above-7,L
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,F,Father,88.0,90.0,86.0,81.0,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35.0,97.0,41.0,23.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,10.0,12.0,29.0,93.0,No,Bad,Above-7,L
F,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,French,S,Father,60.0,70.0,63.0,93.0,Yes,Bad,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,82.0,31.0,52.0,25.0,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,5.0,2.0,6.0,5.0,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Mum,70.0,50.0,40.0,99.0,Yes,Good,Under-7,H
M,Jordan,USA,MiddleSchool,G-07,A,Quran,F,Mum,100.0,85.0,85.0,70.0,No,Bad,Under-7,M
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,S,Mum,90.0,90.0,57.0,22.0,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-07,A,IT,F,Father,2.0,19.0,10.0,50.0,Yes,Good,Above-7,L
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,24.0,35.0,23.0,22.0,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Father,53.0,88.0,9.0,33.0,No,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,85.0,66.0,12.0,23.0,No,Bad,Under-7,M
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,42.0,30.0,13.0,70.0,Yes,Bad,Above-7,M
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Father,90.0,98.0,41.0,38.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,71.0,84.0,67.0,80.0,Yes,Good,Under-7,M
M,Palestine,Jordan,lowerlevel,G-04,B,Science,F,Mum,95.0,57.0,74.0,89.0,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60.0,87.0,23.0,11.0,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,22.0,20.0,6.0,26.0,No,Bad,Under-7,H
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,27.0,41.0,49.0,14.0,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15.0,25.0,37.0,13.0,Yes,Good,Above-7,L
M,Iraq,Iraq,MiddleSchool,G-06,A,English,S,Mum,74.0,60.0,56.0,37.0,No,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-08,A,Math,F,Mum,62.0,70.0,44.0,60.0,No,Bad,Above-7,H
F,lebanon,lebanon,MiddleSchool,G-06,A,English,F,Mum,95.0,82.0,82.0,70.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,45.0,95.0,12.0,13.0,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,81.0,82.0,69.0,13.0,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,A,Chemistry,F,Father,90.0,91.0,80.0,81.0,Yes,Good,Under-7,H
M,venzuela,venzuela,HighSchool,G-10,A,IT,F,Mum,80.0,90.0,70.0,80.0,Yes,Good,Under-7,H
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Father,10.0,79.0,30.0,30.0,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60.0,52.0,23.0,33.0,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,62.0,61.0,82.0,40.0,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Father,29.0,10.0,12.0,24.0,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80.0,82.0,76.0,19.0,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72.0,80.0,58.0,66.0,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10.0,15.0,10.0,21.0,No,Bad,Above-7,L
F,KW,USA,HighSchool,G-11,A,Quran,F,Mum,60.0,80.0,50.0,40.0,No,Bad,Under-7,M
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,14.0,60.0,11.0,75.0,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,40.0,87.0,50.0,41.0,No,Bad,Under-7,M
F,lebanon,lebanon,lowerlevel,G-02,B,French,F,Mum,72.0,98.0,52.0,15.0,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,10.0,12.0,20.0,13.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,0.0,4.0,8.0,30.0,No,Bad,Above-7,L
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,70.0,99.0,66.0,65.0,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,11.0,70.0,32.0,29.0,Yes,Good,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,85.0,15.0,22.0,53.0,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,72.0,21.0,22.0,26.0,Yes,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,19.0,30.0,26.0,19.0,Yes,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,18.0,17.0,26.0,34.0,No,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,40.0,38.0,32.0,36.0,No,Bad,Above-7,M
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,21.0,12.0,0.0,50.0,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,25.0,27.0,0.0,69.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,F,Father,20.0,12.0,15.0,70.0,No,Good,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60.0,55.0,30.0,40.0,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,5.0,4.0,5.0,8.0,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,12.0,22.0,59.0,83.0,Yes,Bad,Above-7,L
M,Iraq,Iraq,MiddleSchool,G-08,A,History,S,Father,69.0,77.0,83.0,92.0,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,29.0,78.0,40.0,12.0,Yes,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,77.0,80.0,51.0,80.0,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,25.0,15.0,12.0,33.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,IT,S,Father,65.0,86.0,62.0,40.0,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,20.0,90.0,50.0,61.0,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,19.0,98.0,20.0,2.0,Yes,Good,Under-7,H
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,87.0,81.0,42.0,19.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17.0,50.0,2.0,4.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,51.0,82.0,53.0,43.0,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,98.0,87.0,86.0,84.0,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,76.0,81.0,80.0,86.0,No,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,95.0,91.0,62.0,53.0,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,41.0,39.0,35.0,39.0,Yes,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Mum,87.0,81.0,22.0,70.0,Yes,Bad,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,80.0,89.0,23.0,68.0,No,Bad,Under-7,H
M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70.0,58.0,73.0,91.0,Yes,Bad,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,70.0,76.0,65.0,70.0,Yes,Good,Above-7,M
F,lebanon,lebanon,MiddleSchool,G-07,B,Math,F,Mum,80.0,90.0,49.0,55.0,Yes,Bad,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,A,IT,S,Father,12.0,60.0,0.0,70.0,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,70.0,82.0,75.0,29.0,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,74.0,62.0,49.0,43.0,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,23.0,82.0,20.0,30.0,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,87.0,92.0,74.0,89.0,Yes,Good,Under-7,H
M,Palestine,Palestine,MiddleSchool,G-07,A,Biology,S,Father,89.0,92.0,89.0,83.0,Yes,Good,Under-7,H
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,33.0,33.0,30.0,90.0,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7.0,4.0,10.0,50.0,No,Good,Above-7,M
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,F,Father,10.0,60.0,5.0,20.0,Yes,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,88.0,81.0,50.0,10.0,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10.0,18.0,71.0,38.0,Yes,Good,Above-7,M
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,55.0,90.0,16.0,40.0,No,Bad,Under-7,M
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,50.0,70.0,32.0,40.0,Yes,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,100.0,80.0,2.0,70.0,No,Bad,Under-7,H
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,F,Father,80.0,95.0,21.0,28.0,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,25.0,29.0,34.0,33.0,No,Good,Above-7,M
M,Iran,Iran,HighSchool,G-09,A,IT,F,Mum,15.0,70.0,37.0,44.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,2.0,11.0,62.0,30.0,No,Bad,Under-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,4.0,5.0,40.0,16.0,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,92.0,65.0,62.0,53.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50.0,95.0,23.0,10.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,79.0,84.0,82.0,37.0,No,Bad,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,12.0,44.0,25.0,39.0,No,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,35.0,80.0,50.0,70.0,Yes,Good,Under-7,H
F,Syria,Syria,MiddleSchool,G-07,A,Biology,F,Mum,96.0,95.0,70.0,70.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,18.0,28.0,40.0,20.0,Yes,Bad,Above-7,M
M,Tunis,SaudiArabia,MiddleSchool,G-07,A,Quran,S,Father,70.0,75.0,55.0,11.0,Yes,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,84.0,92.0,29.0,43.0,Yes,Good,Under-7,H
F,Iraq,Iraq,lowerlevel,G-02,B,French,S,Father,17.0,80.0,13.0,10.0,No,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,25.0,89.0,21.0,13.0,Yes,Good,Under-7,M
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,89.0,92.0,40.0,28.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,82.0,89.0,22.0,31.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,28.0,60.0,19.0,50.0,Yes,Good,Under-7,M
M,Syria,Syria,lowerlevel,G-02,A,French,F,Father,24.0,35.0,18.0,31.0,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,39.0,71.0,40.0,26.0,No,Good,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,0.0,0.0,0.0,4.0,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,30.0,98.0,42.0,21.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,30.0,17.0,14.0,57.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,Math,S,Father,15.0,6.0,32.0,40.0,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,77.0,80.0,12.0,19.0,Yes,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10.0,12.0,4.0,80.0,No,Bad,Under-7,M
M,Palestine,Jordan,lowerlevel,G-04,B,Science,S,Mum,82.0,84.0,79.0,79.0,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,C,IT,F,Father,80.0,42.0,20.0,50.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35.0,92.0,29.0,33.0,No,Bad,Under-7,M
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,80.0,51.0,40.0,24.0,No,Good,Under-7,M
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,S,Father,78.0,70.0,31.0,29.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72.0,83.0,12.0,90.0,Yes,Good,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,C,Spanish,S,Mum,27.0,90.0,82.0,14.0,Yes,Good,Under-7,H
F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,Arabic,S,Mum,72.0,51.0,42.0,24.0,Yes,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,20.0,88.0,31.0,28.0,Yes,Good,Above-7,M
M,Syria,Syria,MiddleSchool,G-07,A,Quran,F,Father,19.0,72.0,15.0,50.0,Yes,Good,Above-7,M
M,Iraq,Iraq,lowerlevel,G-04,A,Science,F,Father,90.0,86.0,82.0,74.0,Yes,Good,Above-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2.0,6.0,2.0,8.0,No,Bad,Above-7,L
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,13.0,80.0,40.0,88.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,36.0,30.0,20.0,80.0,No,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,75.0,71.0,72.0,53.0,Yes,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,12.0,21.0,16.0,50.0,Yes,Good,Under-7,M
M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51.0,42.0,12.0,29.0,No,Bad,Above-7,M
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,81.0,75.0,62.0,53.0,No,Bad,Under-7,M
